,lon,lat,station_info
262,-76.39352778,37.0184972,0167889257
263,-76.3861111,37.03769444,0167891721
264,-76.5662167,37.16720278,0204279245
265,-76.5444306,37.10255,0204279294
266,-76.20735,36.8750833,0204288771
267,-76.22907778,36.7638111,0204288786
268,-76.3842472,36.8624972,0204289131
269,-76.3806361,36.88354444,0204289402
270,-76.2504972,36.92351389,0204289989
271,-76.0221944,36.85802778,0204295063
272,-76.1313361,36.7912083,0204306533
273,-76.2123167,36.69064444,0204309906
274,-76.9444058,36.56681864,02047370
275,-76.81995939,36.90653868,02047783
276,-76.89829369,36.7626499,02049500
277,-76.918294,36.68042849,02050000
278,-76.4363056,36.56177778,363342076261100
279,-76.3871306,36.72666944,364336076231300
280,-76.38717778,36.7265972,364336076231400
281,-76.4139111,36.7319,364355076245000
282,-75.8344444,36.37444444,02043433
283,-76.3425,36.42138889,0204382800
284,-76.9994444,36.28027778,02053500
285,-77.2025,35.9475,02081028
286,-77.04027778,35.8597222,02081054
287,-76.89277778,35.81305556,02081094
288,-76.9841667,36.04777778,0208111310
289,-76.72277778,35.915,0208114150
290,-77.5330556,35.89444444,02083500
291,-77.37277778,35.61666667,02084000
292,-77.2308333,35.56166667,02084160
293,-77.0619444,35.5433333,02084472
294,-76.7461111,35.7308333,02084557
295,-77.5825,35.42888889,02091500
296,-77.30277778,35.31388889,02091814
297,-77.11388889,35.2308333,0209205053
298,-77.46138889,35.06416667,02092500
299,-77.21888889,35.01,02092554
300,-77.8752778,34.5983333,02108566
301,-78.5483333,34.095,02109500
302,-78.71973988,33.953505,02110400
303,-78.7150175,33.9126719,02110500
304,-78.8972222,33.8508333,02110550
305,-79.0411471,33.86100349,02110701
306,-79.0436473,33.8329481,02110704
307,-79.0047569,33.6871151,02110725
308,-78.6558483,33.8515612,02110777
309,-79.09420639,33.64905837,02110802
310,-79.1269867,33.50655724,021108125
311,-79.1739341,33.44461245,02110815
312,-79.2519444,33.83388889,02135100
313,-79.1544874,33.6610024,02135200
314,-79.54561819,33.49044467,02136030
315,-79.2636617,33.36933396,02136350
316,-79.3381102,33.32850037,02136361
317,-79.915,33.4275,02171645
318,-79.6781263,33.3048893,02171700
319,-79.382558,33.20850056,02171800
320,-79.4058929,33.1840565,02171850
321,-79.3542237,33.15433435,02171905
322,-79.9745248,33.21516925,02172002
323,-79.9489708,33.0935042,02172020
324,-79.7836887,33.1315584,02172035
325,-79.8541111,33.0285,021720368
326,-79.9581383,33.05711588,02172040
327,-79.93619338,33.05767134,02172050
328,-79.90675,33.01577778,021720508
329,-79.9228612,32.9835058,02172053
330,-79.9628645,32.89045228,021720677
331,-79.9526667,32.85569444,0217206935
332,-79.82438889,32.92130556,0217206962
333,-79.8961963,32.8590638,021720698
334,-79.9100869,32.80239835,021720709
335,-79.923699,32.7804544,021720710
336,-79.923699,32.7804544,021720711
337,-80.2009279,32.95878299,02172081
338,-80.1516667,32.92583333,021720825
339,-80.0237014,32.8346201,021720869
340,-80.9234722,32.5883611,021765182
341,-81.1248324,32.34963773,02198760
342,-81.11789,32.18575747,021989784
343,-81.11763889,32.171,021989791
344,-81.0069444,32.10305556,0219897993
345,-79.3633333,33.07444444,330428079214800
346,-81.2683333,32.52855556,02198500
347,-81.2970833,32.36577778,02198690
348,-81.1780278,32.25602778,02198810
349,-81.1536111,32.24916667,02198820
350,-81.1510833,32.2354722,02198840
351,-81.1549167,32.16533333,02198920
352,-81.1383333,32.16555556,02198950
353,-81.1283333,32.11608333,021989715
354,-81.0813611,32.08041667,021989773
355,-81.13,32.16583333,021989792
356,-80.9060556,32.03580556,02198980
357,-81.4158611,32.1901111,02202500
358,-81.38475,32.0795,02202680
359,-81.4586111,31.96944444,02203518
360,-81.2878611,31.9769722,02203536
361,-81.5395556,31.82055556,02203557
362,-81.3627778,31.45333333,022035975
363,-81.6051111,31.4268611,02226160
364,-81.40213889,31.12675,02226180
365,-81.8664444,31.21958333,02228000
366,-81.7268611,30.97488889,02228070
367,-81.4713611,30.76433333,02228295
368,-82.0241667,30.78305556,02231175
369,-81.6542683,30.744124,02231254
370,-81.5898179,30.5507931,02231291
371,-80.6790194,27.5909972,022313219
372,-80.6781444,27.59294167,02231322
373,-80.80505949,27.72808533,02231396
374,-80.8881155,28.074462,02231600
375,-80.752001,28.08473879,02232000
376,-80.8953373,28.18195808,02232155
377,-80.91089309,28.2130681,02232200
378,-80.8725578,28.36972837,02232400
379,-80.9283928,28.3525071,02232415
380,-80.943392,28.54305529,02232500
381,-81.169786,28.65555285,02233484
382,-81.1141667,28.67777778,02233500
383,-81.0353374,28.7141611,02234000
384,-81.2475656,28.68999664,02234344
385,-81.308678,28.71888466,02234384
386,-81.2906221,28.7041629,02234400
387,-81.18117379,28.78415969,02234435
388,-81.3242323,28.83804694,02234500
389,-81.4193056,28.81426389,02235000
390,-81.3397866,28.944154,02235500
391,-81.3825651,29.00831827,02236000
392,-81.5220157,29.16692445,02236125
393,-81.6425767,29.24469863,02236160
394,-81.80480679,29.50858114,02243959
395,-81.8041667,29.50833333,02243960
396,-81.683138,29.5963582,02244040
397,-81.3711787,29.39469798,02244333
398,-81.626191,29.57774783,02244440
399,-81.4843667,29.72338056,02245260
400,-81.55,29.8,02245290
401,-81.6151361,30.0059222,02245340
402,-81.9064915,30.1132953,02246000
403,-81.86371139,30.07607343,02246010
404,-81.5559,30.14333056,02246160
405,-81.54638889,30.11916667,022462002
406,-81.7684315,30.19635087,02246318
407,-81.7403761,30.28218375,02246459
408,-81.6653735,30.3224616,02246500
409,-81.5900917,30.2644071,02246515
410,-81.57,30.28696944,02246518
411,-81.69648758,30.41746058,02246621
412,-81.6682,30.44333889,02246751
413,-81.59688889,30.45494167,02246804
414,-81.5182611,30.44838056,02246825
415,-81.2595108,29.66941676,02247222
416,-81.1086687,29.21748099,02247510
417,-81.0464455,29.05081845,02248000
418,-80.754773,28.73638079,02248380
419,-80.6553314,28.16140209,02248900
420,-80.6467205,28.12695888,02249007
421,-80.6294983,28.07946057,02249500
422,-80.59588719,28.01724054,02250030
423,-80.5656091,27.96724239,02250500
424,-80.5312444,27.93675,02250702
425,-80.5058868,27.76947258,02251000
426,-80.52422,27.85613569,02251500
427,-80.5342203,27.83058119,02251767
428,-80.4275516,27.75447297,02251800
429,-80.42005169,27.69308613,02252500
430,-80.405607,27.64780983,02253000
431,-80.386579,27.6044779,02253500
432,-81.3147949,26.9325585,02256500
433,-81.11784588,26.96255665,02257000
434,-81.1327222,27.09083333,02257750
435,-81.0714972,27.0389222,02257790
436,-81.0699806,27.15438056,02258800
437,-81.0091722,27.0964472,02259100
438,-81.201458,27.21393588,02273230
439,-80.8964511,27.24393485,02273630
440,-80.8725617,27.3653202,02274010
441,-80.8383333,27.31638889,02274325
442,-80.8189493,27.3047665,02274490
443,-80.8239494,27.28087828,02274505
444,-80.780615,27.2372685,02275197
445,-80.6156,26.98553333,02276877
446,-80.28725,27.10866667,02276998
447,-80.2587833,27.2048,02277100
448,-80.2074444,27.19902778,02277110
449,-80.17525,26.93925,02277600
450,-80.17488889,26.93927778,02277602
451,-80.08508889,26.94674444,02277743
452,-80.7090694,26.70021389,02280500
453,-80.4468833,26.47285,02281200
454,-80.7128167,26.6976,02283500
455,-80.1949722,25.9002222,02286328
456,-80.8067278,26.69534407,02286400
457,-80.4215472,25.89123889,02287497
458,-81.2616343,25.88772088,02288800
459,-80.9803467,25.85176527,02288900
460,-80.7694722,25.76183333,02289019
461,-80.8816111,26.32719444,02289035
462,-80.7271944,25.76202778,02289041
463,-80.6547222,25.76138889,02289054
464,-80.6086111,25.76138889,02289056
465,-80.5617056,25.76114167,02289060
466,-80.5366667,25.76138889,02289080
467,-80.5166667,25.76138889,02289085
468,-80.3280833,25.7625,02289500
469,-80.4001667,25.57708333,0229070825
470,-80.3878472,25.57895278,0229070834
471,-80.3877361,25.57358056,0229070836
472,-80.37875,25.57091667,022907085
473,-80.3747778,25.57,0229070854
474,-80.3595556,25.5598611,02290709
475,-80.49763889,25.74633333,022907647
476,-80.4965556,25.71758333,02290765
477,-80.4959722,25.70216667,02290766
478,-80.4971,25.68598333,02290767
479,-80.4981667,25.66338889,02290768
480,-80.5248333,25.3272222,02290769
481,-80.9132167,25.3386722,022908205
482,-80.8545278,25.46797778,022908295
483,-81.0769444,25.50138889,02290878
484,-81.2497222,25.70916667,02290888
485,-81.1647222,25.55555556,02290918
486,-81.3825,25.8697222,02290928
487,-81.3416667,25.8286111,02290930
488,-81.3551944,25.95794444,02291001
489,-81.74938889,26.33583333,02291500
490,-81.7903611,26.36233333,02291524
491,-81.7959722,26.44294444,02291580
492,-81.7934444,26.42875,02291597
493,-81.8544167,26.52202778,02291669
494,-81.8544167,26.50688889,02291673
495,-81.8527778,26.50641667,02291710
496,-81.08888889,26.83333333,02292010
497,-81.30495,26.78790556,02292490
498,-81.5132333,26.74742778,02292740
499,-81.5580361,26.70775278,02292780
500,-81.69313699,26.72173487,02292900
501,-81.7034528,26.72735833,022929176
502,-81.7594444,26.69194444,02293055
503,-81.8086667,26.71571667,02293090
504,-81.89188889,26.57488889,02293230
505,-81.9209444,26.74202778,02293262
506,-81.8761946,27.22088245,02296750
507,-81.8795282,27.16671794,02297100
508,-81.9884193,27.19949477,02297310
509,-81.9994444,27.08666667,02297345
510,-82.00730919,27.07755529,02297350
511,-81.9942538,26.98755887,02297460
512,-81.8266361,26.96734444,02297600
513,-81.8875,26.975,02297635
514,-81.8947222,26.99027778,02298170
515,-81.9356414,26.98478094,02298202
516,-82.1567556,27.3436562,02298608
517,-82.3400929,27.28838098,02298760
518,-82.3118944,27.23521944,02298830
519,-82.3556494,27.1856073,02298880
520,-82.2930655,27.04519625,02299230
521,-82.2606667,27.06033333,02299260
522,-82.1442558,27.1933843,02299410
523,-82.2048417,27.11163889,02299450
524,-82.2203333,27.06933333,02299472
525,-82.2353333,27.0456111,02299482
526,-82.2378698,27.04700165,02299484
527,-82.4300958,27.14394246,02299727
528,-82.451425,27.11850278,02299730
529,-82.4474111,27.11271944,02299734
530,-82.4655556,27.1122222,02299735
531,-82.5442639,27.3678222,02299861
532,-82.3670375,27.51364999,023000095
533,-82.39738889,27.57577778,02300017
534,-82.3895379,27.55337054,02300018
535,-82.4261111,27.42055556,02300033
536,-82.4875958,27.44143074,02300042
537,-82.51338889,27.57991667,02300075
538,-82.5397222,27.58805556,02300082
539,-82.294258,27.6494778,02300300
540,-82.3525925,27.67114344,02300500
541,-82.3520369,27.79197208,02300700
542,-82.3462035,27.83502623,02300703
543,-82.3264528,27.86934167,02301718
544,-82.3842598,27.85974739,02301721
545,-82.3706484,27.88002457,02301738
546,-82.3498147,27.8966908,02301740
547,-82.3770375,27.902246,02301745
548,-82.3642595,27.9258564,02301750
549,-82.37175969,27.985021,02301793
550,-82.4091667,28.08888889,02303800
551,-82.3637032,28.05446224,02304000
552,-82.4275939,28.02390784,02304500
553,-82.4345385,28.02113015,02304510
554,-82.4612055,28.05862836,02305851
555,-82.451761,28.02113004,02306000
556,-82.45231658,28.02113003,023060003
557,-82.4548166,28.0202967,023060013
558,-82.4587057,27.94196627,02306028
559,-82.5117623,28.04307328,02306500
560,-82.5450963,28.01390775,02306647
561,-82.5417667,28.0000972,023066535
562,-82.5658333,28.06583333,02306774
563,-82.5553744,28.06501684,02306950
564,-82.5759304,28.03696237,02307000
565,-82.6267649,28.0508507,02307032
566,-82.6398209,28.14084726,02307323
567,-82.6871441,28.09643229,02307359
568,-82.6937554,28.08682987,02307362
569,-82.6977778,28.07705556,02307445
570,-82.72248889,28.06850278,02307496
571,-82.7109336,28.05362833,02307498
572,-82.7294444,27.97319444,02307669
573,-82.7131558,27.97550618,02307674
574,-82.7248228,27.91585545,02307780
575,-82.7267672,27.8733569,02308861
576,-82.6759327,27.90780025,02308865
577,-82.6759327,27.90780025,02308866
578,-82.7370453,27.8722458,02308870
579,-82.7803798,27.83919117,02308889
580,-82.7203611,27.81023889,02308950
581,-82.8167697,27.90752187,02309110
582,-82.804,27.94240833,02309200
583,-82.7587125,28.0469618,02309425
584,-82.7636611,28.07112778,02309447
585,-82.6664882,28.21417784,02310000
586,-82.7193056,28.1744722,02310075
587,-82.6429044,28.25731495,02310300
588,-82.7226006,28.2502877,02310308
589,-82.6677778,28.28055556,02310322
590,-82.6732611,28.33092778,02310356
591,-82.6987778,28.33877778,02310368
592,-82.5734324,28.51694015,02310500
593,-82.65010099,28.53360629,02310600
594,-82.5767656,28.71526419,02310650
595,-82.6062107,28.71526404,02310663
596,-82.6247222,28.70263889,02310673
597,-82.6389891,28.69470935,02310674
598,-82.5887105,28.76665075,02310675
599,-82.58871089,28.79970509,02310678
600,-82.589822,28.79748294,02310688
601,-82.60563889,28.8131111,02310689
602,-82.6026,28.80137159,02310690
603,-82.6178779,28.78526096,02310700
604,-82.695657,28.7716498,02310712
605,-82.5956566,28.890535,02310740
606,-82.6055556,28.8933611,02310742
607,-82.5931566,28.89470155,02310743
